Species	Lifestyle
Quaeritorhiza_haematococci_JEL0916.LCG	Algal Parasite
Cladochytrium_replicatum_JEL714_v1.0	Saprobe
Phlyctochytrium_bullatum_JEL0754.LCG	Algal Parasite
Phlyctochytrium_planicorne_JEL0388.LCG	Algal Parasite
Dinochytrium_kinnereticum_KLL_TL_06062013.LCG	Algal Parasite
Chytridium_lagenaria_Arg66_v1.0	Saprobe
Chytriomyces_sp._MP_71_v1.0	Saprobe
Chytriomyces_hyalinus_ARG121.LCG	Saprobe
Chytriomyces_confervae_CBS_675.73	Saprobe
Entophlyctis_luteolus_JEL0120.LCG	Saprobe
Entophlyctis_luteolus_JEL0129.LCG	Saprobe
Entophlyctis_sp._JEL0112.LCG	Saprobe
Polychytrium_aggregatum_JEL109_v1.0	Saprobe
Homolaphlyctis_polyrhiza_JEL142_v1.0	Saprobe
Unknown_unknown_JEL0888.LCG	Algal Parasite
Batrachochytrium_salamandrivorans_BS	Animal Parasite
Batrachochytrium_dendrobatidis_JEL423	Animal Parasite
Entophlyctis_helioformis_JEL805_v1.0	Algal Parasite
Geranomyces_variabilis_JEL0379.LCG	Saprobe
Spizellomyces_punctatus_DAOM_BR117	Saprobe
Spizellomyces_sp._palustris_CBS_455.65	Saprobe
Synchytrium_endobioticum_MB42	Plant Parasite
Synchytrium_microbalum_JEL517	Plant Parasite
Conidiobolus_coronatus_NRRL_28638	Saprobe
Zoophthora_radicans_ATCC_208865	Animal Parasite
Piptocephalis_cylindrospora_RSA_2659	Fungal Parasite
Coemansia_reversa_NRRL_1564	Saprobe
Allomyces_arbuscula_Burma_1F.LCG	Saprobe
Allomyces_javanicus_California_12.LCG	Saprobe
Allomyces_macrogynus_ATCC_38327	Saprobe
Catenaria_anguillulae_PL171_v2.0	Animal Parasite
Paramicrosporidium_saccamoebae_KSL3	Animal Parasite
Mitosporidium_daphniae_UGP3	Animal Parasite
Rozella_sp._PSC023	Algal Parasite
Rozella_multimorpha	Algal Parasite
Rozella_rhizoclosmatii	Algal Parasite
Gonapodya_sp._JEL0774.LCG	Saprobe
Coelomomyces_lativittatus	Animal Parasite
