Phase,Gene,rep#,RelExpr
EarlyInf,HMI56_001592,1,2092.634691
EarlyInf,HMI56_001592,2,2100.560129
LateInf,HMI56_001592,1,1845.182823
LateInf,HMI56_001592,2,1644.205894
MiddleInf,HMI56_001592,1,2229.596894
MiddleInf,HMI56_001592,2,2140.828191
Sporangia0,HMI56_001592,1,1186.509926
Sporangia0,HMI56_001592,2,1180.423377
Sporangia24,HMI56_001592,1,1630.053625
Sporangia24,HMI56_001592,2,1167.403044
Sporangia36,HMI56_001592,1,1962.642851
Sporangia36,HMI56_001592,2,2043.440607
Sporangia48,HMI56_001592,1,1725.106479
Sporangia48,HMI56_001592,2,1563.497592
