"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0003774",2.23187450807224e-06,8.41346153846154,1.5763277693475,10,49,"motor activity"
"2","GO:0003777",2.48661045275805e-06,9.77010309278351,1.2546282245827,9,39,"microtubule motor activity"
"3","GO:0008324",0.000750242237063138,4.19542805916629,2.5092564491654,9,78,"cation transmembrane transporter activity"
"4","GO:0008092",0.000871870407499703,4.56705539358601,2.05887708649469,8,64,"cytoskeletal protein binding"
"5","GO:0015318",0.000990307176174928,4.01675257731959,2.60576631259484,9,81,"inorganic molecular entity transmembrane transporter activity"
"6","GO:0019825",0.00102545392229215,Inf,0.064339908952959,2,2,"oxygen binding"
"7","GO:0008703",0.00102545392229215,Inf,0.064339908952959,2,2,"5-amino-6-(5-phosphoribosylamino)uracil reductase activity"
"8","GO:0003779",0.00105057429221125,11.3297682709447,0.482549317147193,4,15,"actin binding"
"9","GO:0015075",0.00149562676676955,3.46774193548387,3.31350531107739,10,103,"ion transmembrane transporter activity"
"10","GO:0022890",0.00173899994692279,4.05053449951409,2.28406676783005,8,71,"inorganic cation transmembrane transporter activity"
"11","GO:0020037",0.0055891794601164,6.54282765737874,0.739908952959029,4,23,"heme binding"
"12","GO:0046906",0.0055891794601164,6.54282765737874,0.739908952959029,4,23,"tetrapyrrole binding"
"13","GO:0005261",0.0055891794601164,6.54282765737874,0.739908952959029,4,23,"cation channel activity"
"14","GO:0017111",0.00686298019323041,2.31118958287354,6.78786039453718,14,211,"nucleoside-triphosphatase activity"
"15","GO:0016462",0.00840700522151159,2.2502152389152,6.94871016691958,14,216,"pyrophosphatase activity"
"16","GO:0016818",0.00874671949075127,2.2383808095952,6.98088012139605,14,217,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
"17","GO:0016776",0.00909534304437172,8.41482789055605,0.450379362670713,3,14,"phosphotransferase activity, phosphate group as acceptor"
"18","GO:0016817",0.0090972812531082,2.22666240409207,7.01305007587253,14,218,"hydrolase activity, acting on acid anhydrides"
"19","GO:0015078",0.00934280824166948,4.33580858085809,1.31896813353566,5,41,"proton transmembrane transporter activity"
"20","GO:0004550",0.00962189233185083,20.4230769230769,0.160849772382398,2,5,"nucleoside diphosphate kinase activity"
"21","GO:0005249",0.0141312167818733,15.3125,0.193019726858877,2,6,"voltage-gated potassium channel activity"
"22","GO:0005267",0.0141312167818733,15.3125,0.193019726858877,2,6,"potassium channel activity"
"23","GO:0016614",0.0145600806069313,4.77073906485671,0.965098634294385,4,30,"oxidoreductase activity, acting on CH-OH group of donors"
"24","GO:0005216",0.0163123090776995,4.59259259259259,0.997268588770865,4,31,"ion channel activity"
"25","GO:0016491",0.0170526048561846,2.10028637812719,6.82003034901366,13,212,"oxidoreductase activity"
"26","GO:0005215",0.0185367262056373,2.22125249833444,5.43672230652504,11,169,"transporter activity"
"27","GO:0016667",0.0185737081550758,6.16310679611651,0.579059180576631,3,18,"oxidoreductase activity, acting on a sulfur group of donors"
"28","GO:0015035",0.0193713013206346,12.2461538461538,0.225189681335357,2,7,"protein disulfide oxidoreductase activity"
"29","GO:0022843",0.0193713013206346,12.2461538461538,0.225189681335357,2,7,"voltage-gated cation channel activity"
"30","GO:0008017",0.0202005856158862,4.27315753887762,1.06160849772382,4,33,"microtubule binding"
"31","GO:0005515",0.0210535835953963,1.58371630044468,25.4786039453718,35,792,"protein binding"
"32","GO:0019205",0.021549834207258,5.77609223300971,0.611229135053111,3,19,"nucleobase-containing compound kinase activity"
"33","GO:0015267",0.0223413128007781,4.12941176470588,1.0937784522003,4,34,"channel activity"
"34","GO:0022803",0.0223413128007781,4.12941176470588,1.0937784522003,4,34,"passive transmembrane transporter activity"
"35","GO:0022836",0.0247715125687447,5.4346087949743,0.64339908952959,3,20,"gated channel activity"
"36","GO:0015079",0.0252913643883512,10.2019230769231,0.257359635811836,2,8,"potassium ion transmembrane transporter activity"
"37","GO:0022857",0.0257697499674427,2.1867816091954,4.98634294385432,10,155,"transmembrane transporter activity"
"38","GO:0015036",0.0318430826706032,8.74175824175824,0.289529590288316,2,9,"disulfide oxidoreductase activity"
