,GOMFID,Pvalue,OddsRatio,ExpCount,Count,Size,Term
1,GO:0003777,2.48661045275805e-06,9.77010309278351,1.2546282245827,9,39,microtubule motor activity
2,GO:0008324,0.000750242237063138,4.19542805916629,2.5092564491654,9,78,cation transmembrane transporter activity
3,GO:0008092,0.000871870407499703,4.56705539358601,2.05887708649469,8,64,cytoskeletal protein binding
4,GO:0015318,0.000990307176174928,4.01675257731959,2.60576631259484,9,81,inorganic molecular entity transmembrane transporter activity
5,GO:0019825,0.00102545392229215,Inf,0.064339908952959,2,2,oxygen binding
6,GO:0008703,0.00102545392229215,Inf,0.064339908952959,2,2,5-amino-6-(5-phosphoribosylamino)uracil reductase activity
7,GO:0003779,0.00105057429221125,11.3297682709447,0.482549317147193,4,15,actin binding
8,GO:0020037,0.0055891794601164,6.54282765737874,0.739908952959029,4,23,heme binding
9,GO:0046906,0.0055891794601164,6.54282765737874,0.739908952959029,4,23,tetrapyrrole binding
10,GO:0017111,0.00686298019323041,2.31118958287354,6.78786039453718,14,211,nucleoside-triphosphatase activity
11,GO:0016776,0.00909534304437172,8.41482789055605,0.450379362670713,3,14,"phosphotransferase activity, phosphate group as acceptor"
12,GO:0016817,0.0090972812531082,2.22666240409207,7.01305007587253,14,218,"hydrolase activity, acting on acid anhydrides"
13,GO:0004550,0.00962189233185083,20.4230769230769,0.160849772382398,2,5,nucleoside diphosphate kinase activity
14,GO:0016614,0.0145600806069313,4.77073906485671,0.965098634294385,4,30,"oxidoreductase activity, acting on CH-OH group of donors"
15,GO:0016491,0.0170526048561846,2.10028637812719,6.82003034901366,13,212,oxidoreductase activity
16,GO:0005215,0.0185367262056373,2.22125249833444,5.43672230652504,11,169,transporter activity
17,GO:0016667,0.0185737081550758,6.16310679611651,0.579059180576631,3,18,"oxidoreductase activity, acting on a sulfur group of donors"
18,GO:0015035,0.0193713013206346,12.2461538461538,0.225189681335357,2,7,protein disulfide oxidoreductase activity
19,GO:0005515,0.0210535835953963,1.58371630044468,25.4786039453718,35,792,protein binding
20,GO:0019205,0.021549834207258,5.77609223300971,0.611229135053111,3,19,nucleobase-containing compound kinase activity
21,GO:0015267,0.0223413128007781,4.12941176470588,1.0937784522003,4,34,channel activity
22,GO:0022803,0.0223413128007781,4.12941176470588,1.0937784522003,4,34,passive transmembrane transporter activity
23,GO:0010181,0.0318430826706032,8.74175824175824,0.289529590288316,2,9,FMN binding
24,GO:0004802,0.0321699544764795,Inf,0.0321699544764795,1,1,transketolase activity
25,GO:0004451,0.0321699544764795,Inf,0.0321699544764795,1,1,isocitrate lyase activity
26,GO:0004502,0.0321699544764795,Inf,0.0321699544764795,1,1,kynurenine 3-monooxygenase activity
27,GO:0008553,0.0321699544764795,Inf,0.0321699544764795,1,1,"proton-exporting ATPase activity, phosphorylative mechanism"
28,GO:0008521,0.0321699544764795,Inf,0.0321699544764795,1,1,acetyl-CoA transmembrane transporter activity
29,GO:0004645,0.0321699544764795,Inf,0.0321699544764795,1,1,"1,4-alpha-oligoglucan phosphorylase activity"
30,GO:0008184,0.0321699544764795,Inf,0.0321699544764795,1,1,glycogen phosphorylase activity
31,GO:0015368,0.0321699544764795,Inf,0.0321699544764795,1,1,calcium:cation antiporter activity
32,GO:0070548,0.0321699544764795,Inf,0.0321699544764795,1,1,L-glutamine aminotransferase activity
33,GO:0046577,0.0321699544764795,Inf,0.0321699544764795,1,1,long-chain-alcohol oxidase activity
34,GO:0016749,0.0321699544764795,Inf,0.0321699544764795,1,1,N-succinyltransferase activity
35,GO:0004360,0.0321699544764795,Inf,0.0321699544764795,1,1,glutamine-fructose-6-phosphate transaminase (isomerizing) activity
36,GO:0016899,0.0321699544764795,Inf,0.0321699544764795,1,1,"oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor"
37,GO:0004356,0.0321699544764795,Inf,0.0321699544764795,1,1,glutamate-ammonia ligase activity
38,GO:0016880,0.0321699544764795,Inf,0.0321699544764795,1,1,acid-ammonia (or amide) ligase activity
39,GO:0005509,0.0350802660107156,3.53389355742297,1.2546282245827,4,39,calcium ion binding
40,GO:0042625,0.0389804878808561,7.64663461538461,0.321699544764795,2,10,ATPase-coupled ion transmembrane transporter activity
