# BUSCO version is: 5.0.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of species: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Missing
83779at2759	Complete	scaffold_2471	777	1971	+	153.2	171
87842at2759	Complete	scaffold_505	767	3481	-	216.1	412
97116at2759	Complete	scaffold_663	2048	5815	+	981.0	896
100698at2759	Complete	scaffold_91	3304	5875	+	803.8	501
142542at2759	Fragmented	scaffold_1300	128	5225	+	199.8	425
156083at2759	Duplicated	scaffold_58	7187	13090	+	2346.0	1242
156083at2759	Duplicated	scaffold_58	2035	6543	+	2201.0	1198
160593at2759	Missing
166920at2759	Complete	scaffold_31	18651	21377	+	382.5	622
176625at2759	Complete	scaffold_106	2603	4710	-	113.3	334
179362at2759	Complete	scaffold_195	6993	11701	-	571.3	1210
245208at2759	Complete	scaffold_553	1859	5419	+	1437.2	878
257318at2759	Complete	scaffold_1619	1696	3644	-	273.7	304
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Complete	scaffold_110	11181	14573	-	149.2	288
290630at2759	Complete	scaffold_1307	253	3623	-	522.6	548
293315at2759	Complete	scaffold_332	2026	5478	+	591.1	601
296129at2759	Complete	scaffold_905	1379	4549	+	839.9	716
299766at2759	Complete	scaffold_2218	351	2834	-	353.7	389
306227at2759	Complete	scaffold_72	570	4148	-	463.4	488
320059at2759	Complete	scaffold_3328	239	1795	+	810.9	430
324863at2759	Complete	scaffold_317	7871	10388	-	246.0	438
325552at2759	Complete	scaffold_1350	1318	3468	-	332.4	399
330169at2759	Complete	scaffold_1515	3038	4544	-	241.5	312
331411at2759	Missing
341721at2759	Complete	scaffold_98	1384	3045	-	172.8	363
345441at2759	Complete	scaffold_4	30342	32553	-	429.1	378
355408at2759	Complete	scaffold_42	740	3268	-	692.1	543
369837at2759	Complete	scaffold_1021	2832	5436	+	264.1	384
375960at2759	Fragmented	scaffold_1847	1825	4048	+	161.2	226
383503at2759	Complete	scaffold_1006	4135	5992	+	289.6	330
388820at2759	Complete	scaffold_1153	326	3756	+	525.2	579
390348at2759	Complete	scaffold_156	1239	4877	+	869.7	701
392369at2759	Fragmented	scaffold_2354	7	959	+	215.9	183
396755at2759	Complete	scaffold_1855	577	3505	-	231.0	662
418107at2759	Complete	scaffold_2770	222	1977	-	341.0	374
426305at2759	Complete	scaffold_504	2463	4934	-	272.4	441
450058at2759	Complete	scaffold_3707	389	1381	+	101.9	196
453044at2759	Missing
457861at2759	Missing
464990at2759	Complete	scaffold_2377	251	1753	+	276.3	323
491869at2759	Fragmented	scaffold_868	76	1044	+	57.1	135
513979at2759	Complete	scaffold_1834	949	2859	+	115.4	202
543764at2759	Complete	scaffold_155	8197	10706	+	115.4	188
549762at2759	Fragmented	scaffold_4315	92	397	+	157.1	99
551907at2759	Complete	scaffold_2895	30	1964	+	97.1	259
570797at2759	Fragmented	scaffold_278	5825	6913	-	47.5	185
582756at2759	Missing
598949at2759	Missing
604979at2759	Complete	scaffold_450	511	2841	+	306.1	236
621827at2759	Missing
625387at2759	Complete	scaffold_2271	2213	3256	+	108.1	195
655400at2759	Complete	scaffold_165	8189	9490	-	212.4	236
664730at2759	Fragmented	scaffold_3371	20	933	-	425.3	245
671536at2759	Fragmented	scaffold_1265	125	1595	+	389.6	259
671846at2759	Missing
673132at2759	Complete	scaffold_524	6767	8040	+	112.2	198
674160at2759	Complete	scaffold_190	195	7088	-	414.2	900
674169at2759	Missing
679187at2759	Complete	scaffold_2099	1454	3550	+	258.1	372
679771at2759	Missing
687505at2759	Missing
692986at2759	Missing
708105at2759	Complete	scaffold_3215	415	1731	+	109.8	189
719531at2759	Complete	scaffold_1506	2816	4625	-	372.3	286
720340at2759	Complete	scaffold_2126	795	1628	-	120.7	149
721605at2759	Complete	scaffold_327	135	1856	-	267.5	265
722805at2759	Missing
734341at2759	Complete	scaffold_43	18605	19754	-	73.3	127
734666at2759	Complete	scaffold_407	6889	8436	-	396.7	376
736068at2759	Complete	scaffold_253	5859	8246	-	191.8	283
751335at2759	Fragmented	scaffold_3303	114	805	+	159.1	140
759498at2759	Complete	scaffold_2523	929	2918	-	524.2	416
761109at2759	Missing
768809at2759	Complete	scaffold_1068	1138	3151	+	221.4	241
774318at2759	Complete	scaffold_1821	738	2324	-	256.1	267
777920at2759	Complete	scaffold_645	2359	4241	-	340.3	326
779909at2759	Missing
801857at2759	Fragmented	scaffold_267	10466	11667	+	154.1	139
814241at2759	Fragmented	scaffold_2053	89	1315	+	56.5	168
817008at2759	Fragmented	scaffold_4115	1	1143	+	305.0	204
834694at2759	Complete	scaffold_2262	631	2825	-	380.5	326
836599at2759	Complete	scaffold_81	1707	3302	+	359.3	322
844748at2759	Complete	scaffold_949	4853	6885	+	225.5	324
855834at2759	Complete	scaffold_1629	992	2532	-	137.3	259
858842at2759	Complete	scaffold_1727	1086	3025	+	213.6	331
865202at2759	Complete	scaffold_1342	1321	3013	-	177.4	188
866359at2759	Missing
869548at2759	Fragmented	scaffold_2760	866	1936	-	113.6	127
878143at2759	Missing
887370at2759	Fragmented	scaffold_4602	58	591	+	103.3	135
891751at2759	Complete	scaffold_1769	1641	2465	+	191.1	179
898782at2759	Complete	scaffold_1417	990	3266	+	248.6	266
901894at2759	Complete	scaffold_805	2207	4393	+	205.7	319
905026at2759	Missing
911863at2759	Complete	scaffold_2762	1257	2260	-	168.0	135
917326at2759	Fragmented	scaffold_3510	784	1260	-	149.6	137
918816at2759	Missing
919955at2759	Complete	scaffold_1257	4581	5645	+	114.0	214
923657at2759	Missing
924753at2759	Complete	scaffold_3095	552	2041	-	158.0	223
931188at2759	Complete	scaffold_70	7344	9812	+	455.2	349
937275at2759	Missing
937686at2759	Complete	scaffold_872	3471	5482	+	370.4	326
939345at2759	Missing
944899at2759	Complete	scaffold_45	7840	8802	-	274.9	242
946128at2759	Missing
956854at2759	Missing
973442at2759	Fragmented	scaffold_802	5002	5262	+	42.6	45
974865at2759	Complete	scaffold_549	1146	2424	-	193.4	226
975158at2759	Missing
975557at2759	Complete	scaffold_1214	2141	4456	+	449.8	328
976469at2759	Fragmented	scaffold_3337	382	1477	-	93.6	187
981902at2759	Missing
996662at2759	Complete	scaffold_3432	111	1667	+	183.6	199
1001705at2759	Missing
1003258at2759	Fragmented	scaffold_1050	4842	6020	-	171.2	242
1010730at2759	Complete	scaffold_3073	745	1882	-	361.1	259
1014314at2759	Complete	scaffold_1224	1858	2733	+	112.0	197
1018517at2759	Complete	scaffold_1652	783	2332	+	265.1	205
1019762at2759	Missing
1025450at2759	Complete	scaffold_80	3616	4980	+	212.8	280
1030907at2759	Complete	scaffold_3019	271	1779	-	128.8	230
1032689at2759	Missing
1038775at2759	Missing
1041560at2759	Fragmented	scaffold_2241	2578	3054	-	102.1	123
1049599at2759	Missing
1051021at2759	Fragmented	scaffold_2921	329	1315	-	148.0	184
1053181at2759	Complete	scaffold_33	5917	6641	+	35.9	130
1057950at2759	Fragmented	scaffold_1146	4268	4696	-	86.5	112
1065019at2759	Complete	scaffold_985	2459	3991	+	245.0	245
1076134at2759	Fragmented	scaffold_3472	476	1592	-	159.7	133
1079130at2759	Fragmented	scaffold_760	6507	7784	+	186.8	178
1079827at2759	Complete	scaffold_642	2517	3757	+	357.9	223
1085752at2759	Complete	scaffold_3306	620	1707	+	159.0	215
1087488at2759	Complete	scaffold_2614	508	2172	+	102.9	241
1090038at2759	Complete	scaffold_3325	1015	1846	-	147.4	110
1094121at2759	Missing
1096688at2759	Complete	scaffold_272	2203	3349	-	303.3	211
1106766at2759	Complete	scaffold_107	7677	9700	+	115.7	200
1107630at2759	Complete	scaffold_724	6688	7607	-	207.7	207
1108845at2759	Complete	scaffold_1510	157	1926	+	410.2	286
1111142at2759	Complete	scaffold_2160	81	1706	-	150.9	219
1112002at2759	Complete	scaffold_392	7799	10635	-	423.1	517
1115196at2759	Fragmented	scaffold_26	21609	22449	-	193.0	161
1128607at2759	Complete	scaffold_1979	1517	2515	+	324.2	251
1129824at2759	Missing
1138059at2759	Complete	scaffold_548	187	1548	-	267.1	178
1157302at2759	Complete	scaffold_1987	1910	3077	-	336.8	205
1161199at2759	Missing
